ダウンロード時刻:2026/06/26 10:41:37,発生日時:2026/05/27 - 2026/06/26 
地震発生時刻,震源緯度[度],震源経度[度],震源深さ[km],マグニチュード,最大加速度[gal],最大速度[cm/s],最大計測震度,観測点数
2026/06/25 20:58:00,40.3000,142.2000,50,4.7,87.8,2.7,3.2,63
2026/06/25 07:30:00,40.2000,142.3000,50,6.9,1225.3,33.6,5.7,722
2026/06/24 13:31:00,37.1000,139.4000,10,3.7,233.5,2.9,3.1,30
2026/06/24 13:24:00,37.1000,139.4000,10,3.2,123.0,1.6,2.6,11
2026/06/16 19:46:00,36.1000,139.9000,50,5.5,226.4,15.1,4.7,423
2026/06/13 04:49:00,38.2000,141.8000,70,4.4,43.9,1.2,2.9,92
2026/06/05 23:30:00,36.0000,138.1000,10,3.5,31.1,1.1,2.6,37
2026/06/04 08:50:00,36.0000,138.1000,10,3.1,12.7,0.4,2.0,9
2026/06/01 05:54:00,37.5000,138.1000,10,4.6,39.5,1.3,2.7,98
2026/05/31 10:58:00,27.4000,128.5000,50,3.9,12.1,0.3,1.8,4
2026/05/30 06:38:00,35.4000,140.3000,30,3.9,67.1,1.3,2.3,36
2026/05/27 16:10:00,36.6000,137.9000,10,3.1,71.2,1.8,2.1,11
